event_id,news,tags,event_score
0,"ISLAMABAD: The KSE-100 index of the Pakistan Stock Exchange (PSX) Monday witnessed bearish trend, losing 183.92 points, with negative change of 0.39 percent, closing at 46,721.87 points against 46,905.79 points on the last working day. A total 428,626,082 shares were traded during the day compared to the trade of 440,278,054  shares the previous day whereas the price of shares stood at Rs22.184 billion against Rs26.421 billion previous day. As many as 419 companiesÃ¢Â€Â™ transacted shares in the stock market, 158 of them recorded gain and 242 sustained losses whereas the share price of 19 companies remained unchanged. The three top traded companies were WorldCall Telcome with a volume of 52,912,50 shares and price per share of Rs1.14, Telecard Limited with a volume of  35,630,500and price per share of Rs3.89 and TRG Pak Ltd with a volume of 33,175,978 and price per share of Rs114.99. Bhanero Tex witnessed maximum increase of Rs61.95 per share, closing at Rs887.96 while Sapphire Tex shares increased by Rs43.59 per share closing at Rs1043.59. Rafhan Maize recorded maximum decrease of Rs93.44 per share, closing at Rs10796.56 whereas Colgate Palm was runner up with the increase of Rs86.56 per share, closing at Rs2893.33.",['Price of shares stood at Rs23.514 billion against Rs25.185 billion previous day'],0
1,"ISLAMABAD: The exchange rate of Pakistani rupee strengthened by 42 paisas against the US dollar in the interbank trading on Monday and closed at Rs159.56 as compared to the previous day's closing of Rs159.98.Meanwhile, according to Forex Association of Pakistan, the buying and selling rates of dollar in the open market were recorded at Rs159.9 and Rs160.6 respectively. In interbank trading, the price of euro depreciated by 07 paisas and closed at Rs191.88 against the last dayÃ¢Â€Â™s trading of Rs 191.95, State Bank of Pakistan reported. The Japanese Yen lost one paisa to close at Rs1.51, whereas an increase of Rs 1.35 was witnessed in the exchange rate of British Pound which was traded at Rs218.72 as compared to its last closing of Rs217.37.The exchange rates of Emirates Dirham and Saudi Riyal decreased by 11 paisas each to close at Rs 43.44 and Rs 42.53 respectively.","['Rupee strengthened by 55 paisas against the US dollar', 'Japanese Yen lost one paisa to close at Rs1.40']",0
2,"ISLAMABAD: The exchange rate of Pakistani rupee strengthened by 22 paisas against the US dollar in the interbank trading on Tuesday and closed at Rs 159.34 as compared to the previous day's closing of Rs159. 56. Meanwhile, according to Forex Association of Pakistan, the buying and selling rates of dollar in the open market were recorded at Rs159 and Rs159.8 respectively. In interbank trading, the price of euro appreciated by 41 paisas and closed at Rs 192.29 against the last dayÃ¢Â€Â™s trading of Rs 191.88, State Bank of Pakistan reported. The Japanese Yen remained unchanged to close at Rs 1.51, whereas an increase of 65 paisas was witnessed in the exchange rate of British Pound which was traded at Rs 219.37 as compared to its last closing of Rs 218.72.The exchange rates of Emirates Dirham and Saudi Riyal decreased by 06 paisas each to close at Rs 43.38 and Rs 42.48 respectively.",['Rupee strengthened by 55 paisas against the US dollar'],0
3,"ISLAMABAD: The KSE-100 index of the Pakistan Stock Exchange (PSX) Wednesday witnessed a slight bearish trend, losing 30.48 points, with negative change of 0.07 percent, closing at 46,644.29 points against 46,674.77 points on the last working day.A total 1,011,910,450 shares were traded during the day compared to the trade of 664,033,819 shares the previous day whereas the price of shares stood at Rs27.298 billion against Rs28.379 billion previous day.As many as 412 companies transacted shares in the stock market, 173 of them recorded gain and 223 sustained losses whereas the share price of 16 companies remained unchanged.The three top traded companies were WorldCall Telecom with a volume of  370,396,500 shares and price per share of Rs1.26, K-Electric Ltd with a volume of 106,876,000 and price per share of Rs4.45 and Telecard Limited with a volume of  41,703,500 and price per share of Rs5.89.Lucky Cement witnessed maximum increase of Rs25.11 per share, closing at Rs767.24 while Pak Tobacco shares increased by Rs24 per share closing at Rs1599.Rafhan Maize recorded maximum decrease of Rs327.43 per share, closing at Rs10200 whereas Mari Petroleum was runner up with the increase of Rs37.24 per share, closing at Rs1654.92.",['Price of shares stood at Rs23.514 billion against Rs25.185 billion previous day'],1
4,"ISLAMABAD: The exchange rate of Pakistani rupee strengthened by 04 paisas against the US dollar in the interbank trading on Wednesday and closed at Rs159.30 as compared to the previous day's closing of Rs159.34. Meanwhile, according to Forex Association of Pakistan, the buying and selling rates of dollar in the open market were recorded at Rs159.1 and Rs159.9  respectively. In interbank trading, the price of euro appreciated by 97 paisas and closed at Rs193.26 against the last dayÃ¢Â€Â™s trading of Rs 192.29, State Bank of Pakistan reported. The Japanese Yen gained one paisa to close at Rs1.52, whereas an increase of 99 paisas was witnessed in the exchange rate of British Pound which was traded at Rs220.36 as compared to its last closing of Rs219.37. The exchange rates of Emirates Dirham and Saudi Riyal decreased by 01 paisa each to close at Rs 43.37 and Rs 42.47 respectively.","['Rupee strengthened by 55 paisas against the US dollar', 'Japanese Yen lost one paisa to close at Rs1.40']",0
5,"ISLAMABAD: Pakistan Tehreek-e-Insaf's Senator Shibli Faraz on Monday said Prime Minister Imran Khan was determined to take on the mafias exploiting the masses. ""Crusade against the mafias who exploit poor people of Pakistan . PMIK determined to take them on,"" he said in response to a tweet of former Federal Board to Revenue chairman Syed Shabbar Zaidi. The former FBR chief, in his tweet, congratulated the prime minister for catching the real dacoits of Pakistan. ""TraderÃ¢Â€Â™s Ã¢Â€Â˜SattaÃ¢Â€Â™ Mafia. I had been constantly saying that these people are the real cause of increased price. Informal banking, cash economy, wrong fatwas on Riba, corruption money, the causes of high prices of food.Arthi Mafia.""",['PM Imran Khan was determined to take on the mafias exploiting the masses'],0
6,"KARACHI:The Pakistan Stock Exchange on Monday came under intense selling pressure as the surging coronavirus cases rattled investors and pushed the benchmark index deep into the red with a drop of over 1,000 points.The rising tally of Covid-19 infections across the country, particularly in Punjab, raised alarm in major sectors of the economy as well as the stock market. The government of Punjab on Monday announced smart lockdowns across various districts where the Covid-19 positivity ratio was 12% or higher.The benchmark KSE-100 index seesawed as investors struggled to anticipate the impact of stringent measures being taken by the government in the wake of resumption of International Monetary Fund (IMF) loan programme.The KSE-100 index started diving from the moment trading began and nosedived over 1,000 points to below 45,000 points. However, some buying activity at regular intervals helped the index recover the lost ground a little bit.It still finished trading deep in the red as weak investor sentiment restricted it from entering the positive territory.At close, the benchmark KSE-100 index recorded a decrease of 1,089.83 points, or 2.39%, to settle at 44,431.8 points.Alpha Beta Core CEO Khurram Schehzad said that the marketÃƒÂ¢Ã‚Â€Ã‚Â™s drop reflected investor concern over the worsening Covid-19 crisis in Pakistan.ÃƒÂ¢Ã‚Â€Ã‚ÂœIn the past few days, Punjab has been worst hit by the pandemic and market participants are now expecting a lockdown in the province,ÃƒÂ¢Ã‚Â€Ã‚Â he said. ÃƒÂ¢Ã‚Â€Ã‚ÂœSince Punjab contributes significantly to the economy, a lockdown will not bode well for the market and Pakistan as a whole.ÃƒÂ¢Ã‚Â€Ã‚ÂEndorsing his views, AA Gold Commodities Director Operations Adnan Agar said that skyrocketing Covid infections and looming fear of lockdown in Punjab dented investor sentiment at the bourse.ÃƒÂ¢Ã‚Â€Ã‚ÂœAnother factor fuelling the decline is the presidential ordinance, which will end tax exemptions for major sectors of the economy,ÃƒÂ¢Ã‚Â€Ã‚Â he said. ÃƒÂ¢Ã‚Â€Ã‚ÂœSuch a move is not in favour of the market, hence a fall is being witnessed.ÃƒÂ¢Ã‚Â€Ã‚ÂJS Global analyst Maaz Mulla said a carnage was witnessed as the KSE-100 index lost 1,090 points. It closed the session at 44,432, down 2.4%. ÃƒÂ¢Ã‚Â€Ã‚ÂœThis pressure in the market was partially due to the increasing Covid-19 cases in the country,ÃƒÂ¢Ã‚Â€Ã‚Â he said.Positivity rates were already in double digits and well beyond those seen during the second wave while the absolute number of infections also dwarfed the second-wave levels.Moreover, in later hours of trading, mutual funds redemption also dented investor sentiment.Volumes stood at 524 million shares, where top contributors were Byco Petroleum (-7.9%), Pakistan Refinery (-7.3%), Azgard Nine (-0.1%), TRG Pakistan (-7.3%), Pakistan Telecommunication Company (-5.6%) and Unity Foods (-7.1%).Selling pressure was witnessed in the refinery and technology sectors where Attock Refinery (-6.9%), National Refinery (-6.9%), Pakistan Refinery (-7.3%), Byco Petroleum (-7.9%), NetSol (-7.5%), TRG Pakistan (-7.3%) and Avanceon (-7.2%) closed at their respective lower locks.The cement sector followed the same trend where Pioneer Cement (-5.8%), Cherat Cement (-5.3%), Maple Leaf Cement Factory (-3.7%), DG Khan Cement (-3.8%) and Lucky Cement (-2.3%) shed value.ÃƒÂ¢Ã‚Â€Ã‚ÂœGoing forward, we expect the market to remain bearish on the back of uncertainty amid the coronavirus pandemic and recommend investors to remain cautious,ÃƒÂ¢Ã‚Â€Ã‚Â the analyst said.Overall trading volumes dropped to 523.9 million shares compared with FridayÃƒÂ¢Ã‚Â€Ã‚Â™s tally of 529.2 million. The value of shares traded during the day was Rs23.5 billion.Shares of 408 companies were traded. At the end of the day, 37 stocks closed higher, 359 declined and 12 remained unchanged.Byco Petroleum was the volume leader with 80.2 million shares, losing Rs0.91 to close at Rs10.63. It was followed by Pakistan Refinery with 48.96 million shares, losing Rs2.07 to close at Rs26.46 and Azgard Nine with 45.6 million shares, losing Rs0.02 to close at Rs38.17.Foreign institutional investors were net sellers of Rs263.8 million worth of shares during the trading session, according to data compiled by the National Clearing Company of Pakistan.","['The cement sector followed the same trend where Pioneer Cement (-5.8%), Cherat Cement (-5.3%), Maple Leaf Cement Factory (-3.7%), DG Khan Cement (-3.8%) and Lucky Cement (-2.3%) shed value']",-5
7,"ISLAMABAD: Referring to an apparent collapse of the multiparty opposition alliance, Interior Minister Sheikh Rashid Ahmed said on Monday that both the Pakistan Peoples Party (PPP) and Pakistan Muslim League-Nawaz (PML-N) had parted ways under the banner of the Pakistan Democratic Movement (PDM) due to conflict of interests. Addressing a news conference after inaugurating the Quaid-e-AzamÃ¢Â€Â™s rehabilitated portrait at Islamabad Expressway, which was collapsed due to overnight rain last year, he said both the parties had remained arch political rivals in the past but made the alliance under the PDM's banner only to oust Prime Minister Imran Khan.  He claimed that their political moves posed no threat to the government of Pakistan Tehreek-e-Insaf, which had already completed its three years successfully.The minister said the government had nothing to do with the infighting of the PDMÃ¢Â€Â™s component parties, rather it happened due to their own incompetency. ""It led to the visible cracks deep inside the opposition alliance.""    He urged the opposition parties to support the government in the Parliament for major reforms including political, legal, electoral, and municipal reforms for the development of the country.Rashid regarded Prime Minister Imran Khan as Ã¢Â€Â˜the skipper of politicsÃ¢Â€Â™ and expressed his resolve for supporting him through all the thick and thins.The minister said the prime focus of the government was to address the basic issues of the masses such as inflation, adding, Ã¢Â€ÂœImran Khan sticks to his stance against corruption as the people of the country wanted full recovery of the looted money.""  He said it was the first time in the history of Pakistan that a ruling government would be issuing 100,000 National Identity Card (NIC) across the country. The mobile vans of the National Database and Registration Authority (NADRA) would reach each district of the country for registration of the citizens' CNICs, he added. He vowed to transform Islamabad into a Ã¢Â€Â˜city of parks and gardensÃ¢Â€Â™ by rooting out the land mafia in the federal capital. The glory of federal capital would be restored during the tenure of the Pakistan Tahreek-e Insaf government, the minister maintained.At present, he said some five big and 231 small parks were existed in the capital city, adding each of them would be renovated after 15 days of interval. He said a multipurpose sports park would be built around the Quaid's portrait, which was re-erected on a hillock along the Express Highway near Koral Interchange, after its fencing. The site would be developed within a short span of time to provide recreational opportunities to the passerby, he added.","[""A multipurpose sports park would be built around the Quaid's portrait, which was re-erected on a hillock along the Express Highway near Koral Interchange, after its fencing""]",0
8,"SHANGHAI: Wanda Group's revamped property management business has secured 3 billion yuan ($457.34 million) of strategic investment from the government of Zhuhai, a city in southern China, ahead of its planned listing, the Chinese developer said on Monday.Wanda Light Asset Commercial Management Co, which is tasked with managing 368 existing Wanda Plazas and a further 155 under construction, will seek to make strategic investment and acquisitions with the Zhuhai government following its planned listing, Wanda said in a statement on its website.Last week, Dalian Wanda Commercial Management, the parent of Wanda Light Asset, withdrew an application for a listing in China, saying it would restructure its assets and consider an overseas listing.The company aims to list in Hong Kong, according to local media reports and a source with knowledge of the plans.","['Wanda Light Asset Commercial Management Co, which is tasked with managing 368 existing Wanda Plazas and a further 155 under construction']",-1
9,"An unlikely figure helped set the spark for SoftBank Group Corp's $9 billion deal to take WeWork public.Adam Neumann, WeWork's co-founder and ousted chief executive, met in November with the head of the special purpose acquisition company (SPAC) that would go on to clinch a deal with WeWork, according to people familiar with the matter.Neumann was locked in a fierce legal battle at the time with SoftBank over a $3 billion deal for a portion of his and other investors' stake in the office space-sharing company.The introduction between Neumann and BowX Acquisition Corp co-chief executive Vivek RanadiveÃŒÂ over a Zoom call was facilitated by a senior UBS Group AG capital markets banker, the sources said. It preceded discussions the SPAC chief had with WeWork.Neumann played up WeWork's prospects on the call and the conversation piqued RanadiveÃŒÂ's interest, the sources said.RanadiveÃŒÂ's SPAC had been looking for an acquisition target after raising $420 million in an IPO in August.The ensuing deal announced on Friday cushions some of the blow SoftBank has suffered with its investment in WeWork. It has invested at least $18.5 billion in WeWork since 2017, including $6 billion when a fundraising round valued the startup at $47 billion in January 2019.The sources described the meeting between Neumann and RanadiveÃŒÂ on condition of anonymity. Representatives for Neumann, WeWork, UBS and SoftBank declined to comment. RanadiveÃŒÂ did not respond to multiple requests for comment.Neumann, who has kept a low profile since his unceremonious ouster after WeWork's failed IPO attempt in 2019, has had a contentious relationship with SoftBank.The Japanese tech investment giant pushed for his ouster before it took over WeWork in a $10 billion rescue financing deal in October 2019. It later backtracked on an agreement to buy $3 billion of WeWork shares from Neumann and other investors, citing criminal and civil investigations into WeWork, the company's failure to restructure a joint venture in China, and the shift to remote work due to the COVID-19 outbreak.One week before the case was due to go to trial, SoftBank reached a settlement with Neumann and other investors in February to pay out about half of its original commitment. It did not want the potential legal liability to jeopardize the SPAC deal, the sources said.Neumann also stands to benefit from the SPAC deal as he still has a roughly 10% stake in WeWork, worth around $790 million.LIMITED OPTIONSNeumann had no role in the SPAC deal after his discussion with RanadiveÃŒÂ, the sources said. RanadiveÃŒÂ and his team began discussions with WeWork in December. SoftBank Chief Operating Officer and WeWork Executive Chairman Marcelo Claure led the negotiations on behalf of SoftBank, with SoftBank CEO Masayoshi Son also stepping in, one of the sources said.WeWork was apprehensive about opting for a traditional IPO following its failed attempt in 2019, and its options for a SPAC deal were limited. BowX was the only SPAC that expressed a serious interest in WeWork, two of the sources said.RanadiveÃŒÂ, a 63-year-old technology executive turned investor and owner of the Sacramento Kings basketball team, said last week WeWork stood to benefit from a shift by many companies to a hybrid model of working that calls for employees to come in to a workplace just a few days a month.He called the shift a tailwind for WeWork.The deal was received well by Wall Street, with BowX shares ending trade on Friday up 20% following the merger's announcement.WeWork's valuation was revised down in the final stages of the negotiations. Investors participating in the private investment in public equity (PIPE) transaction managed to drive down WeWork's valuation in the agreement from $9.9 billion to $9 billion, including debt, the sources said. The size of the PIPE increased to $800 million from $500 million.RanadiveÃŒÂ and the rest of the BowX senior team will receive WeWork shares worth almost $90 million after investing $11.7 million of their own money. They will be restricted from selling these shares for the first year unless certain share price targets are met.","[""The deal was received well by Wall Street, with BowX shares ending trade on Friday up 20% following the merger's announcement""]",0
